epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,3333.98,0.39519,0.81494,0.65378,0.96037,0,0.78953,0.74737,0.79707,0.58893,0.78953,0.74737,0.79707,0.63506,0.93043,1.12609,1.66528,1.54679,0,0.000396246,0.000396246,0.000396246
79,3372.6,0.43851,0.91924,0.69233,0.97139,0,0.78953,0.74737,0.79707,0.58893,0.78953,0.74737,0.79707,0.63506,0.93043,1.12609,1.66528,1.54679,0,0.000379743,0.000379743,0.000379743
80,3410.2,0.42928,0.86366,0.63758,0.98234,0,0.7252,0.75,0.78765,0.57365,0.7252,0.75,0.78765,0.62677,0.92517,1.19232,1.7363,1.54978,0,0.000363239,0.000363239,0.000363239
81,3448.21,0.53476,0.93345,0.76874,1.06775,0,0.65664,0.75,0.73666,0.56157,0.7536,0.82089,0.774,0.61302,0.96927,1.20031,1.75335,1.57794,0,0.000346736,0.000346736,0.000346736
82,3485.18,0.51528,0.95535,0.73451,1.10288,0,0.8441,0.69562,0.79071,0.62631,0.8441,0.69562,0.79071,0.65663,0.95254,1.17873,1.66663,1.55839,0,0.000330233,0.000330233,0.000330233
83,3522.08,0.43799,0.90053,0.70122,1.00101,0,0.8441,0.69562,0.79071,0.62631,0.8441,0.69562,0.79071,0.65663,0.95254,1.17873,1.66663,1.55839,0,0.000313729,0.000313729,0.000313729
84,3557.6,0.43791,0.91808,0.76868,1.00202,0,0.74909,0.8283,0.81406,0.64181,0.74909,0.8283,0.81406,0.66597,0.93723,1.1129,1.62632,1.5499,0,0.000297226,0.000297226,0.000297226
85,3594.47,0.4795,0.84674,0.69829,1.0245,0,0.71696,0.83333,0.78363,0.59993,0.71696,0.83333,0.78363,0.65098,0.9896,1.06001,1.67787,1.57889,0,0.000280723,0.000280723,0.000280723
86,3631.14,0.41068,0.89401,0.62055,0.98658,0,0.70139,0.83333,0.79391,0.5877,0.70139,0.83333,0.79524,0.65371,0.99,1.03479,1.69027,1.58967,0,0.00026422,0.00026422,0.00026422
87,3668.25,0.44038,0.87337,0.65897,1.00409,0,0.70139,0.83333,0.79391,0.5877,0.70139,0.83333,0.79524,0.65371,0.99,1.03479,1.69027,1.58967,0,0.000247716,0.000247716,0.000247716
88,3704.73,0.38008,0.76489,0.65318,0.95571,0,0.75516,0.81636,0.81607,0.61042,0.75516,0.81636,0.81607,0.678,0.99778,1.02764,1.67134,1.59897,0,0.000231213,0.000231213,0.000231213
89,3741.47,0.44231,0.91513,0.73316,0.99763,0,0.71611,0.81838,0.82146,0.60575,0.71611,0.81838,0.82146,0.68877,0.97978,1.02798,1.67232,1.5579,0,0.00021471,0.00021471,0.00021471
90,3779.17,0.41404,0.84346,0.65481,0.99174,0,0.79708,0.74624,0.81992,0.62725,0.79708,0.74624,0.81992,0.67932,0.97633,1.0232,1.61736,1.54556,0,0.000198206,0.000198206,0.000198206
91,3815.22,0.36772,0.64497,1.35088,1.08536,0,0.79708,0.74624,0.81992,0.62725,0.79708,0.74624,0.81992,0.67932,0.97633,1.0232,1.61736,1.54556,0,0.000181703,0.000181703,0.000181703
92,3861.32,0.30874,0.6588,1.0614,0.93582,0,0.90051,0.75,0.88325,0.66669,0.90051,0.75,0.88325,0.71494,0.86694,1.02107,1.49433,1.51408,0,0.0001652,0.0001652,0.0001652
93,3904.61,0.33433,0.72515,1.10497,1.02335,0,0.94323,0.75,0.89479,0.68489,0.94323,0.75,0.89479,0.72726,0.78336,1.07772,1.42884,1.48141,0,0.000148696,0.000148696,0.000148696
94,3953.28,0.34033,0.64303,1.01581,0.9839,0,0.94195,0.75,0.91167,0.67681,0.94195,0.75,0.91167,0.712,0.84279,1.16027,1.39746,1.52014,0,0.000132193,0.000132193,0.000132193
95,3999.26,0.36251,0.68948,1.01844,1.04189,0,0.94195,0.75,0.91167,0.67681,0.94195,0.75,0.91167,0.712,0.84279,1.16027,1.39746,1.52014,0,0.00011569,0.00011569,0.00011569
96,4041.07,0.44299,0.60205,1.14755,1.15809,0,0.95355,0.75,0.912,0.65451,0.95355,0.75,0.912,0.71917,0.8469,1.20885,1.42445,1.51955,0,9.91865e-05,9.91865e-05,9.91865e-05
97,4083.11,0.31964,0.59482,0.95945,0.97209,0,0.94843,0.82637,0.94,0.66591,0.94843,0.82637,0.96083,0.7234,0.90592,1.2506,1.40463,1.57282,0,8.26832e-05,8.26832e-05,8.26832e-05
98,4126.3,0.38592,0.63469,1.00208,1.07947,0,0.95914,0.82591,0.96083,0.68069,0.95914,0.82591,0.96083,0.73412,0.92136,1.30829,1.38641,1.5931,0,6.61799e-05,6.61799e-05,6.61799e-05
99,4169.32,0.38231,0.59262,0.98542,1.06989,0,0.95914,0.82591,0.96083,0.68069,0.95914,0.82591,0.96083,0.73412,0.92136,1.30829,1.38641,1.5931,0,4.96766e-05,4.96766e-05,4.96766e-05
100,4210.91,0.36747,0.60143,0.96124,1.06455,0,0.81632,1,0.97143,0.68776,0.81632,1,0.97143,0.7418,0.90302,1.33882,1.35388,1.5798,0,3.31733e-05,3.31733e-05,3.31733e-05
